Value of n,InsertionSortTime(sec),MergeSortTime(sec),HybridMergeSortTime(sec),SelectionSortTime(sec),BubbleSortTime(sec)
100,0.0007615089416503906,0.0009992122650146484,0.00019025802612304688,0.0010361671447753906,0.0032944679260253906
1000,0.1711580753326416,0.002529621124267578,0.0,0.08526873588562012,0.11217212677001953
5000,1.746213674545288,0.05260419845581055,0.06439065933227539,1.3772685527801514,2.922725200653076
10000,6.409054517745972,0.0597987174987793,0.05121254920959473,5.456989049911499,12.813207864761353
20000,24.901996850967407,0.2275557518005371,0.11528182029724121,25.512629508972168,60.4848575592041
30000,66.76955318450928,0.20791077613830566,0.16378116607666016,65.98822808265686,102.27320432662964
40000,119.47502541542053,0.3999612331390381,0.32294201850891113,89.65978121757507,144.63711762428284
50000,117.35270571708679,0.27601146697998047,0.21573615074157715,103.36591029167175,234.9142942428589
60000,249.9731178503544,0.6824639241271192,0.7155658243271152,211.7460778585102,452.7344370918169
100000,583.1902124023129,1.4358323794250235,1.5298463794750483,461.239652656443,1098.6061547985132